,id,title,crit_score,user_score,PC,PlayStation,PlayStation2,PlayStation3,PlayStation4,Xbox,Xbox360,XboxOne,genre,release_year,is_mult,is_single
7537,7537,skyhill,63.0,5.5,1,0,0,0,1,0,0,1,Adventure,2015,0,1
7538,7538,skylanders-giants,80.0,6.5,0,0,0,1,0,0,1,0,Platform,2012,1,1
7539,7539,skylanders-imaginators,79.0,5.4,0,0,0,1,1,0,1,1,Adventure,2016,0,1
7540,7540,skylanders-superchargers,87.0,5.6,0,0,0,1,1,0,1,1,Adventure,2015,0,0
7541,7541,skylanders-swap-force,89.0,6.1,0,0,0,1,1,0,1,1,Platform,2013,1,1
7542,7542,skylanders-trap-team,78.0,7.1,0,0,0,1,1,0,1,1,Adventure,2014,1,1
7543,7543,sky-odyssey,79.0,8.4,0,0,1,0,0,0,0,0,Simulator,2000,0,1
7544,7544,slain,40.0,5.3,1,0,0,0,1,0,0,1,Adventure,2016,0,1
7545,7545,slain-back-from-hell,74.0,8.2,1,0,0,0,1,0,0,1,Arcade,2016,0,1
7546,7546,slam-bolt-scrappers,66.0,7.8,1,0,0,1,0,0,0,0,Hack and slash/Beat 'em up,2011,1,1
7547,7547,slay-the-spire,89.0,7,1,0,0,0,0,0,0,1,Indie,2019,0,1
7548,7548,sled-storm,73.0,8,0,0,1,0,0,0,0,0,Racing,2002,0,1
7549,7549,sleeping-dogs,83.0,7.7,1,0,0,1,1,0,1,1,Adventure,2012,0,1
7550,7550,sleeping-dogs-definitive-edition,77.0,7.4,1,0,0,0,1,0,0,1,Adventure,2014,0,1
7551,7551,sleep-tight,64.0,6,1,0,0,0,0,0,0,0,Indie,2018,0,1
7552,7552,slender-the-arrival,65.0,6.1,1,0,0,1,1,0,1,1,Adventure,2013,0,1
7553,7553,slime-rancher,81.0,7.9,1,0,0,0,1,0,0,1,Adventure,2016,0,1
7554,7554,slime-san,82.0,8.5,1,0,0,0,0,0,0,0,Adventure,2017,1,1
7555,7555,slime-san-superslime-edition,81.0,6.5,0,0,0,0,1,0,0,1,Indie,2018,0,1
